iter	RMSE
246	2.980151083
247	2.972423269
248	2.966188782
249	2.959217878
250	2.954825415
251	2.946333797
252	2.939658109
253	2.93137133
254	2.926797092
255	2.920598085
256	2.912920611
257	2.907746522
258	2.901447498
259	2.893155869
260	2.887100577
261	2.880912502
262	2.871866187
263	2.863189455
264	2.856428903
265	2.847899224
266	2.84185237
267	2.83636948
268	2.82837781
269	2.82083561
270	2.817311939
271	2.812595908
272	2.808772695
273	2.800069457
274	2.794133826
275	2.786144473
276	2.782704658
277	2.779010499
278	2.7734935
279	2.76866225
280	2.763653188
281	2.757395303
282	2.752754298
283	2.746135919
284	2.741405342
285	2.735017754
286	2.730269719
287	2.727359028
288	2.719554199
289	2.711975319
290	2.706988399
291	2.700900471
292	2.698214811
293	2.691471416
294	2.685726915
295	2.680028941
296	2.673247935
297	2.668052906
298	2.660249736
299	2.658214006
300	2.651785223
301	2.647623786
302	2.642961081
303	2.636826741
304	2.632700184
305	2.626989933
306	2.622468616
307	2.618421493
308	2.612907328
309	2.609810972
310	2.605873694
311	2.601798732
312	2.597254859
313	2.590447031
314	2.584246444
315	2.580538611
316	2.577246612
317	2.569748392
318	2.562978014
319	2.558244675
320	2.551646627
321	2.547881434
322	2.540328333
323	2.534522456
324	2.528754221
325	2.524305308
326	2.519813897
327	2.512783144
328	2.509073282
329	2.506195278
330	2.502257505
331	2.497356274
332	2.493432025
333	2.489369994
334	2.484201392
335	2.481170758
336	2.478994633
337	2.474812179
338	2.472327389
339	2.466978828
340	2.463590148
341	2.459399686
342	2.45531395
343	2.449317995
344	2.443938895
345	2.43960378
346	2.433588404
347	2.4306796
348	2.42650241
349	2.423575512
350	2.421550801
351	2.418515915
352	2.413305554
353	2.410152907
354	2.408166456
355	2.405733887
356	2.40112428
357	2.397588134
358	2.395867363
359	2.391178377
360	2.389517384
361	2.386435378
362	2.384978867
363	2.381336397
364	2.376084346
365	2.37074083
366	2.364716784
367	2.360922887
368	2.355290309
369	2.353661566
370	2.348928726
371	2.344577782
372	2.342911773
373	2.339618496
374	2.33467988
375	2.3308337
376	2.325426034
377	2.321760814
378	2.316378904
379	2.312316271
380	2.308242446
381	2.304545706
382	2.299292287
383	2.294617519
384	2.291928031
385	2.288416896
386	2.28328665
387	2.280165221
388	2.27876916
389	2.27498941
390	2.270368977
391	2.265941718
392	2.263383084
393	2.261310145
394	2.258422758
395	2.255581007
396	2.252281316
397	2.248263476
398	2.243847855
399	2.241091944
400	2.237339306
401	2.235208283
402	2.230056325
403	2.226393569
404	2.224449778
405	2.222767472
406	2.221194492
407	2.216428716
408	2.213765717
409	2.208269209
410	2.203495254
411	2.199784183
412	2.196505792
413	2.192893941
414	2.189685711
415	2.184764842
416	2.181846417
417	2.178043013
418	2.174713875
419	2.171943365
420	2.168647126
421	2.165173787
422	2.163532993
423	2.159150431
424	2.157063541
425	2.154813916
426	2.15105482
427	2.148284094
428	2.145200043
429	2.142041654
430	2.136815037
431	2.133508799
432	2.129438581
433	2.126421776
434	2.123116512
435	2.120593562
436	2.117721027
437	2.114827277
438	2.113429399
439	2.110439448
440	2.107495159
441	2.104796647
442	2.101493662
443	2.099395423
444	2.095885923
445	2.091950406
446	2.08960443
447	2.087019636
448	2.084647979
449	2.080631052
450	2.078166757
451	2.076658186
452	2.072718035
453	2.069509276
454	2.065729021
455	2.060585202
456	2.057926987
457	2.054072261
458	2.051236965
459	2.048304029
460	2.043765022
461	2.040650716
462	2.037440694
463	2.033796098
464	2.030128741
465	2.028101166
466	2.026998736
467	2.022043581
468	2.019437031
469	2.016980677
470	2.014296194
471	2.011522811
472	2.008947101
473	2.006154285
474	2.003510787
475	2.000815159
476	1.997316101
477	1.995137874
478	1.992137465
479	1.98806303
480	1.986277779
481	1.984556075
482	1.98318088
483	1.979915511
484	1.977317374
485	1.974010968
486	1.971742107
487	1.968807515
488	1.965053872
489	1.963309077
490	1.961014603
491	1.958137247
492	1.95638996
493	1.953924587
494	1.949641509
495	1.945442156
496	1.942728765
497	1.940527586
498	1.937510731
499	1.935224012
